Occupation,Sex,Age,Residency_in_Dormitory,Number_of_Family_Members,Parent_Cohabitation_Status,Mother_Education,Father_Education,Mother_Job_Category,Father_Job_Category,Criminal_Records,Legal_Guardian,Average_Sport_Activity_Per_Week,Average_Studying_Per_Week,Average_Grades_Previous_Semester,Having_Scholarship,Financial_Support_Parents,Using_Extracurricular_Classes,Having_Extracurricular_Activities,History_Mental_Illness,Willingness_to_Studying,History_Physical_Illness,Marital_Status_Relationship,Relationship_Quality_Family,Free_Time_After_Classes,Communication_Quality_Classmates,Alcohol_Consumption_Week,Alcohol_Consumption_Weekend,Number_of_Absences,Average_Student_Final_Grades,Academic_Performance
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,181.972681015839,11.51577096142699,17.47654411052659,No,Yes,No,Yes,No,High,No,Relationship,Poor,416.4730369327098,Good,Moderate,3,3,15.46,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,179.36167023490574,24.85580429586229,10.343203222292647,Yes,Yes,No,No,No,Moderate,No,Single,Fair,281.6277465195227,Poor,High,9,6,10.07,Bad
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,256.01268960821045,17.452428058668676,15.196235770736712,No,Yes,No,Yes,No,High,No,Relationship,Very Good,378.7477749472144,Average,Moderate,6,6,13.95,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,213.2288763015967,18.23020451264799,11.986081514376284,Yes,Yes,Yes,Yes,No,Moderate,No,Single,Fair,305.8587032377074,Average,High,8,6,11.03,Average
Student,Male,20,No,4,Separated,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,178.24811288783994,16.51921880463025,8.110468008687716,No,Yes,Yes,No,No,Low,Yes,Single,Poor,228.98365263639823,Poor,Very High,9,4,7.96,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,237.2436409440201,27.69703363386789,10.402651229463991,No,Yes,Yes,Yes,No,Moderate,No,Single,Fair,325.532138075286,Average,High,0,5,11.82,Average
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,277.31452843121195,8.083295899799774,9.35864779920139,Yes,No,No,No,No,Moderate,No,Single,Fair,231.5726496154982,Poor,High,4,8,8.06,Bad
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,219.04672144463035,22.862722709880067,18.112629482473626,Yes,Yes,No,Yes,Yes,Very High,No,Relationship,Average,442.8252405052622,Good,Low,5,5,16.51,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,180.72468338903664,26.810641319116403,11.102075025773743,No,Yes,No,Yes,No,Moderate,No,Single,Good,317.1405385060204,Average,High,3,7,11.49,Average
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,88.17146373548883,23.730720644323284,11.416375626650666,No,Yes,No,No,No,Moderate,No,Single,Extremely Poor,268.7830765867592,Poor,High,9,8,9.55,Bad
Teacher,Female,26,Yes,8,Living Together,PhD+,PhD+,Services,Services,No,Father,105.44204358472392,36.59759131458734,19.51923886158661,No,No,Yes,Yes,No,Very High,No,Relationship,Very Good,513.1984073714041,Very Good,Low,5,3,19.33,Very Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,158.63427069517326,13.768425898202407,12.549040676586229,No,Yes,Yes,Yes,No,Moderate,No,Single,Very Good,318.8841905624847,Average,High,0,9,11.56,Average
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,137.33414584885017,25.65843858074825,8.115027681732734,Yes,Yes,Yes,No,No,Moderate,No,Single,Very Good,267.75797364044354,Poor,High,7,5,9.51,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,166.9120087910188,17.151274917268637,11.406153780153636,No,Yes,No,No,No,Moderate,No,Single,Good,295.050021004586,Average,High,5,7,10.6,Bad
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,183.9654947427975,27.86724861082136,9.431594967221749,No,Yes,No,No,No,Moderate,No,Single,Fair,254.1853621798266,Poor,High,9,8,8.97,Bad
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,217.07849280497115,17.938488034229046,9.233702740830248,No,Yes,No,No,No,Moderate,No,Single,Poor,271.6277990312075,Poor,High,3,4,9.67,Bad
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,175.0650855358636,14.896993745100245,8.929847481628993,No,Yes,Yes,No,No,Moderate,No,Single,Poor,256.6774755155419,Poor,High,4,4,9.07,Bad
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,214.05511506783412,28.448577630973038,15.119113642104526,No,Yes,Yes,Yes,Yes,High,No,Relationship,Extremely Poor,396.9480984782772,Good,Moderate,7,2,14.68,Good
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,184.5132090367084,14.06750448784856,10.272172683558304,Yes,No,No,No,No,Moderate,No,Single,Extremely Poor,276.7564076209915,Poor,High,1,5,9.87,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,41.717340355229,6.698193928795551,12.334913528492123,No,Yes,No,No,No,Moderate,No,Single,Extremely Poor,298.3467295581473,Average,High,3,3,10.73,Bad
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,114.2465224326872,13.865224934609373,18.3442125935602,Yes,No,Yes,Yes,No,High,No,Relationship,Poor,420.7407958438756,Good,Moderate,6,4,15.63,Good
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,169.91387109948693,22.95226357270826,13.092057677555308,No,Yes,Yes,Yes,No,High,No,Relationship,Fair,371.67002111951945,Average,Moderate,1,3,13.67,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,95.32136800112248,29.13631001269673,18.98829620061965,No,Yes,No,Yes,No,Very High,No,Relationship,Extremely Poor,441.4211704583166,Good,Low,5,7,16.46,Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,221.9950110997343,18.889035002372097,13.975256640747276,No,Yes,Yes,Yes,No,High,No,Single,Extremely Poor,338.4974745279564,Average,Moderate,8,5,12.34,Average
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,287.1525582640588,28.5455765378722,12.786039378077067,No,Yes,No,Yes,No,High,No,Single,Poor,351.5882686936318,Average,Moderate,1,7,12.86,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,265.3133296188122,7.134600628179252,17.004667125088417,Yes,Yes,Yes,Yes,No,High,No,Relationship,Very Good,401.1468182942564,Good,Moderate,3,7,14.85,Good
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,165.05899903488543,14.453892281456778,8.878101185216025,No,Yes,No,No,No,Moderate,No,Single,Fair,252.62832724669263,Poor,High,9,2,8.91,Bad
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,284.35082957949663,15.691399062767193,9.073740595789008,No,Yes,No,No,No,Moderate,No,Single,Extremely Poor,250.34676543345157,Poor,High,9,3,8.81,Bad
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,190.4067220041478,17.083524580219844,15.823684567075528,No,No,No,Yes,No,High,No,Relationship,Fair,401.1311460179882,Good,Moderate,4,2,14.85,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,156.40398202173725,18.67275510600157,13.84328855887098,No,Yes,No,Yes,No,Moderate,No,Single,Average,326.1948254242435,Average,High,9,7,11.85,Average
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,137.06181355213425,23.527287659137546,17.48498300383052,Yes,Yes,No,Yes,No,High,No,Relationship,Very Good,429.20666703903873,Good,Moderate,7,6,15.97,Good
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,158.827121945831,14.44154529463608,18.99525004812238,No,Yes,Yes,Yes,No,Very High,No,Relationship,Very Good,453.6019819956698,Good,Low,4,5,16.94,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,152.82762270211398,19.112229495625005,12.660402532058573,Yes,Yes,No,Yes,Yes,Moderate,No,Single,Extremely Poor,313.38089290903224,Average,High,4,6,11.34,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,191.92913556628412,17.639016877407588,15.156920319015756,No,Yes,Yes,Yes,Yes,Moderate,No,Single,Extremely Poor,309.3208308400033,Average,High,9,11,11.17,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,191.24017867349053,10.5928807688708,14.008359533543718,No,Yes,No,Yes,No,Moderate,No,Single,Poor,308.5450421295755,Average,High,8,7,11.14,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,180.213221410739,17.090666487348518,19.779327867709195,No,No,No,Yes,No,Very High,No,Relationship,Very Good,452.09522718309216,Good,Low,9,5,16.88,Good
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,210.5856718822445,16.850723760823055,17.973012888279143,Yes,Yes,Yes,Yes,Yes,Very High,No,Relationship,Average,455.2219692827781,Good,Low,5,1,17.01,Very Good
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,263.3452392350439,16.67935547997563,18.940852499328244,Yes,Yes,Yes,Yes,No,Very High,No,Relationship,Average,458.6735451817314,Good,Low,4,5,17.15,Very Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,246.46878948089267,18.254075652651608,11.05208105093125,No,No,No,Yes,No,Moderate,No,Single,Average,328.1379443145916,Average,High,2,2,11.93,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,76.05714220850675,18.60538832490709,17.270317077951134,No,Yes,No,Yes,Yes,High,No,Relationship,Good,400.7492145934959,Good,Moderate,0,9,14.83,Good
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,1.2255205568631595,14.54163856714136,11.185678699971788,No,Yes,Yes,No,No,Moderate,No,Single,Poor,272.77378984093366,Poor,High,5,6,9.71,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,245.40239378674917,28.18171787177012,10.50491040114068,No,Yes,No,No,No,Moderate,No,Single,Poor,280.3290298257616,Poor,High,9,7,10.01,Bad
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,84.31849111092052,8.644154966375867,19.33119391586661,No,No,Yes,Yes,Yes,High,No,Relationship,Extremely Poor,418.9614570856447,Good,Moderate,8,2,15.56,Good
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,164.26642186751215,12.23223913224083,8.2316530006144,No,Yes,No,No,No,Moderate,No,Single,Poor,244.3040389621402,Poor,High,3,3,8.57,Bad
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Services,Services,No,Father,98.09208817584484,40.23970899378845,19.58466444396116,No,Yes,No,Yes,No,Very High,No,Relationship,Extremely Poor,476.4253687440575,Very Good,Low,7,6,17.86,Very Good
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,53.861369369398616,9.69606916008616,9.791142763865675,No,No,No,No,No,Moderate,No,Single,Extremely Poor,240.7786926598759,Poor,High,1,6,8.43,Bad
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,217.9023909743352,7.169962602321931,17.83325698151922,No,Yes,Yes,Yes,No,Very High,No,Relationship,Good,444.0726854013683,Good,Low,1,2,16.56,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,233.14086122118528,23.875813960009744,11.311070636817238,Yes,Yes,No,Yes,Yes,Moderate,No,Single,Poor,329.3225532065688,Average,High,3,3,11.97,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,139.64427194912963,1.3830411698090082,12.208427929168728,No,Yes,No,No,No,Moderate,No,Single,Poor,294.131657269801,Average,High,1,4,10.57,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,0.0,16.117808720220488,10.60109253586382,Yes,Yes,Yes,No,No,Moderate,No,Single,Good,301.45560773946045,Average,High,5,3,10.86,Bad
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,141.76288862232622,35.16659940061191,15.026168509772956,No,Yes,Yes,Yes,Yes,High,No,Relationship,Good,409.9697359470492,Good,Moderate,7,4,15.2,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,207.42628037817823,5.640512622772796,12.17714657009449,No,Yes,No,Yes,No,Moderate,No,Single,Poor,322.2751072739266,Average,High,2,1,11.69,Average
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,76.47619018581099,2.144284114090293,15.888716473935958,No,Yes,Yes,Yes,No,High,No,Single,Poor,354.2155190052002,Average,Moderate,2,5,12.97,Average
Student,Male,20,No,4,Separated,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,192.8351943845409,6.006550384338414,8.187767815304792,No,No,Yes,No,Yes,Low,Yes,Single,Extremely Poor,214.0951435530169,Poor,Very High,3,4,7.36,Bad
Part-time Worker,Male,21,No,4,Living Together,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,178.9283105578903,25.186876546775885,8.772498602180475,No,Yes,No,No,No,Moderate,No,Single,Fair,251.89303219377788,Poor,High,4,8,8.88,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,220.5504049720762,26.9982137598865,9.195933832774983,No,Yes,No,No,No,Moderate,No,Single,Very Good,304.3365735727505,Average,High,2,5,10.97,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,188.37062578899076,13.89928962417193,13.027924223722772,Yes,Yes,Yes,Yes,No,Moderate,No,Single,Extremely Poor,315.81856069666816,Average,High,5,6,11.43,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,111.88517413829112,23.46569923200855,17.777554071919713,No,No,No,Yes,No,Very High,No,Relationship,Average,444.9438043289396,Good,Low,4,3,16.6,Good
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,263.7600051165144,29.12204262009592,18.65813492454059,Yes,No,No,Yes,No,Very High,No,Relationship,Average,444.2140664434248,Good,Low,7,8,16.57,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,168.9029298881121,32.2987713154386,10.937728880730807,No,Yes,Yes,Yes,No,Moderate,No,Single,Fair,319.2858599593882,Average,High,9,4,11.57,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,178.08868223430477,16.029317750561216,14.892436690868168,No,No,No,Yes,No,High,No,Relationship,Very Good,377.6170822734603,Average,Moderate,3,5,13.9,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,114.67124286487628,1.0,17.220379912311206,No,Yes,Yes,Yes,No,High,No,Relationship,Good,401.1187013275677,Good,Moderate,5,2,14.84,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,148.9702424165943,11.432968620722503,11.465953159035305,Yes,No,No,No,No,Moderate,No,Single,Average,288.3365716511073,Poor,High,8,4,10.33,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,118.06381001811694,14.58556644051794,12.90809284083528,No,No,No,No,No,Moderate,No,Single,Good,297.9438576531268,Average,High,5,9,10.72,Bad
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,167.8937758053604,15.928489627372876,14.287690432228567,Yes,Yes,No,Yes,No,High,No,Single,Good,344.20103285372267,Average,Moderate,9,6,12.57,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,299.81959360996404,16.497124791930244,9.618498156896573,No,Yes,No,No,Yes,Moderate,No,Single,Extremely Poor,292.9711381042239,Average,High,4,0,10.52,Bad
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,83.96691999480505,26.95115678344536,8.311787524709363,Yes,Yes,Yes,No,No,Moderate,No,Single,Good,273.48174908146007,Poor,High,7,4,9.74,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,67.05070214862812,28.195427413500653,9.8336697118194,No,Yes,Yes,Yes,No,Moderate,No,Single,Fair,310.08111514187124,Average,High,3,3,11.2,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,282.9819229245526,16.626610768601733,15.5222434550424,No,Yes,No,Yes,No,High,No,Relationship,Extremely Poor,379.1769872397012,Average,Moderate,5,4,13.97,Average
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,165.34734259936937,26.78787900841455,8.88341913840418,No,Yes,Yes,No,No,Moderate,No,Single,Fair,272.14275503512613,Poor,High,6,5,9.69,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,133.16490829380584,20.861290933048718,10.27635637820154,No,Yes,No,No,No,Moderate,No,Single,Good,286.4662596058856,Poor,High,9,4,10.26,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,252.79332811772537,18.51604778290057,12.054246628343645,No,Yes,No,Yes,No,Moderate,No,Single,Average,323.2026721899755,Average,High,5,5,11.73,Average
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,137.6069122184195,25.25235325687971,8.934440771676396,No,No,No,No,No,Moderate,No,Single,Very Good,264.59858017769955,Poor,High,7,6,9.38,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,307.82067994828554,18.578016385903325,10.300391253939614,No,Yes,No,Yes,No,Moderate,No,Single,Good,316.9911369400681,Average,High,1,4,11.48,Average
Teacher,Female,26,Yes,8,Living Together,PhD+,PhD+,Services,Services,No,Father,227.4548109937488,34.4624894167821,18.93523746780213,No,Yes,Yes,Yes,No,Very High,No,Relationship,Fair,492.4943124970328,Very Good,Low,4,4,18.5,Very Good
Student,Male,20,No,4,Separated,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,145.84620142980083,6.492710665643527,8.231589586723818,No,Yes,No,No,No,Low,Yes,Single,Poor,208.63844940984967,Poor,Very High,2,7,7.15,Bad
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,331.0115749285852,13.87863280726386,15.841183090092343,No,No,No,Yes,No,High,No,Relationship,Poor,369.0190276590681,Average,Moderate,3,7,13.56,Average
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,137.5999553897663,16.9878488243684,12.612907170982218,No,Yes,No,Yes,No,High,No,Single,Average,343.4485798377479,Average,Moderate,9,0,12.54,Average
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,231.94667604065148,21.515621523663924,16.071784873188456,Yes,Yes,Yes,Yes,No,High,No,Relationship,Very Good,393.4248173867593,Good,Moderate,7,8,14.54,Good
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,200.95048062845444,28.14368389682471,15.064300644360856,Yes,No,Yes,Yes,No,High,No,Relationship,Fair,395.6408547950738,Good,Moderate,1,7,14.63,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,271.1218902579159,17.804811462110745,10.681985052255731,No,No,Yes,Yes,No,Moderate,No,Single,Average,305.0281476925619,Average,High,8,2,11.0,Average
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,289.30578377087966,6.622162803950342,18.166513850880666,Yes,Yes,No,Yes,No,High,No,Relationship,Extremely Poor,357.3747927684741,Average,Moderate,6,12,13.09,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,182.24029043460365,24.740111171640034,13.90328459131228,No,Yes,Yes,Yes,No,High,No,Relationship,Good,371.01705114583336,Average,Moderate,0,8,13.64,Average
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,127.26074907576717,24.039670129135715,17.87043222696166,No,No,No,Yes,No,High,No,Relationship,Extremely Poor,429.5057275412616,Good,Moderate,2,5,15.98,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,212.1980500057381,2.465130724964752,12.87215043425863,No,Yes,No,No,No,Moderate,No,Single,Poor,280.6849354034514,Poor,High,7,6,10.03,Bad
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,132.55992411735258,17.969566930633604,19.81622664698287,Yes,No,Yes,Yes,No,Very High,No,Relationship,Good,454.7869922778448,Good,Low,1,9,16.99,Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,320.9371073268636,5.278865354557617,17.245872302015556,No,Yes,No,Yes,No,High,No,Single,Extremely Poor,350.737109784655,Average,Moderate,9,8,12.83,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,189.5574731757916,12.6827912199835,19.59140246135088,Yes,Yes,No,Yes,No,Very High,No,Relationship,Poor,440.7368501280899,Good,Low,6,5,16.43,Good
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,154.42749140815238,10.777528584297604,14.171917746918306,Yes,Yes,No,Yes,No,High,No,Relationship,Very Good,369.8267541685863,Average,Moderate,0,5,13.59,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,192.9276214105436,24.47411758593589,13.684293587488405,No,Yes,No,Yes,No,High,No,Relationship,Extremely Poor,372.8003070524879,Average,Moderate,2,3,13.71,Average
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,85.70115973292124,18.934641393377472,17.065445711903095,No,No,No,Yes,No,High,No,Relationship,Good,357.5627603968839,Average,Moderate,9,11,13.1,Average
Engineer,Female,24,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,111.9870173042544,7.715271993951779,18.56349515616116,No,Yes,No,Yes,Yes,High,No,Relationship,Extremely Poor,421.72803976726686,Good,Moderate,1,3,15.67,Good
Teacher,Female,26,Yes,8,Living Together,PhD+,PhD+,Services,Services,No,Father,264.0289735561098,25.04052770365874,19.569749550386696,No,No,No,Yes,No,Very High,No,Relationship,Good,497.3941498057979,Very Good,Low,1,4,18.7,Very Good
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,134.0174004720023,6.529553408572685,11.894622872389997,No,Yes,Yes,No,Yes,Moderate,No,Single,Extremely Poor,259.98369193963754,Poor,High,9,5,9.2,Bad
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Father,106.71623121226423,20.64091032376755,17.584454886111665,No,Yes,Yes,Yes,No,Very High,No,Relationship,Average,432.3574336810095,Good,Low,1,6,16.09,Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,217.56569267691003,11.487914645667557,10.52774717162644,No,Yes,Yes,No,No,Moderate,No,Single,Very Good,301.8132682518102,Average,High,3,4,10.87,Bad
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,262.9992908264098,15.07458333975584,14.546892160945344,No,Yes,Yes,Yes,No,High,No,Relationship,Extremely Poor,359.2393078695742,Average,Moderate,5,4,13.17,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,230.32673174655469,22.034165984307077,10.158177780910387,No,No,Yes,Yes,No,Moderate,No,Single,Extremely Poor,314.9077270458501,Average,High,0,2,11.4,Average
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,249.72333800640715,22.171595192476232,12.168768341004066,No,Yes,No,Yes,No,Moderate,No,Single,Average,326.57874465412675,Average,High,9,4,11.86,Average
Teacher,Female,25,Yes,7,Living Together,Postgraduate,Postgraduate,Services,Services,No,Father,127.02434380013776,28.69575258844768,19.17630040647751,No,No,No,Yes,No,Very High,No,Relationship,Poor,474.51650404780656,Very Good,Low,6,2,17.78,Very Good
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Mother,80.47325332807094,17.341970402628373,9.753088397277033,No,Yes,Yes,No,No,Moderate,No,Single,Good,291.4524178148454,Poor,High,6,2,10.46,Bad
Engineer,Female,24,Yes,6,Living Together,Postgraduate,Postgraduate,Medical,Medical,No,Mother,285.0933556368841,20.451606903706725,15.588810741622355,No,No,No,Yes,No,High,No,Relationship,Fair,402.58356460262974,Good,Moderate,0,5,14.9,Good
Engineer,Female,23,Yes,6,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,157.4124112810505,14.498101420765405,15.11545127512884,Yes,No,No,Yes,No,High,No,Relationship,Poor,358.19017500163505,Average,Moderate,9,3,13.13,Average
Part-time Worker,Male,21,No,5,Living Together,Bachelor,Bachelor,Engineering,Engineering,No,Student,162.4416888481467,19.45591906098238,9.448860232507837,No,Yes,No,No,No,Moderate,No,Single,Good,279.17526645411624,Poor,High,8,3,9.97,Bad
Part-time Worker,Male,22,Yes,5,Living Together,Bachelor,Bachelor,Education,Education,No,Mother,272.97358992943407,21.51588838406809,11.911748525225748,No,Yes,Yes,Yes,No,Moderate,No,Single,Extremely Poor,311.47292697969084,Average,High,7,5,11.26,Average
Engineer,Female,23,Yes,6,Living Together,Postgraduate,Postgraduate,Education,Education,No,Mother,218.9361006580462,17.213521220364992,14.755778054183189,Yes,No,Yes,Yes,No,High,No,Relationship,Poor,376.0359475929854,Average,Moderate,1,5,13.84,Average
Student,Male,20,No,4,Separated,Diploma or Below,Diploma or Below,Engineering,Engineering,No,Student,211.91214404571247,3.56999612726003,10.246143307861884,No,Yes,No,No,No,Low,Yes,Single,Extremely Poor,213.67049250401985,Poor,Very High,6,9,7.35,Bad
